Colorectal cancer,,,,,ab_c
Valylphenylalanine,HMDB0029134,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Valylthreonine,HMDB0029137,CC(C)[C@H](N)C(=O)N[C@@H](C(C)O)C(O)=O,Feces,Not Specified,
Valyltyrosine,HMDB0029139,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Valylvaline,HMDB0029140,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,Feces,Not Specified,
Piperine,HMDB0029377,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,Feces,Not Specified,
Saccharin,HMDB0029723,OC1=NS(=O)(=O)C2=CC=CC=C12,Feces,Not Specified,
D-Arabinose,HMDB0029942,O[C@@H]1CO[C@@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
2-Hydroxyhexadecanoic acid,HMDB0031057,CCCCCCCCCCCCCC[C@H](O)C(O)=O,Feces,Not Specified,
Isopalmitic acid,HMDB0031068,CC(C)CCCCCCCCCCCCC(O)=O,Feces,Not Specified,
"1,2,3-Propanetricarboxylic acid",HMDB0031193,OC(=O)CC(CC(O)=O)C(O)=O,Feces,Not Specified,
Sucralose,HMDB0031554,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,Feces,Not Specified,
5-(2-Hydroxyethyl)-4-methylthiazole,HMDB0032985,CC1=C(CCO)SC=N1,Feces,Not Specified,
(S)-Homostachydrine,HMDB0033433,C[N+]1(C)CCCC[C@H]1C([O-])=O,Feces,Not Specified,
2-Aminoheptanedioic acid,HMDB0034252,NC(CCCCC(O)=O)C(O)=O,Feces,Not Specified,
Piperidine,HMDB0034301,C1CCNCC1,Feces,Not Specified,
"Secoisolariciresinol 9,9'-diglucoside",HMDB0036323,COC1=CC(CC(COC2OC(CO)C(O)C(O)C2O)C(COC2OC(CO)C(O)C(O)C2O)CC2=CC(OC)=C(O)C=C2)=CC=C1O,Feces,Not Specified,
xi-10-Hydroxyoctadecanoic acid,HMDB0037396,CCCCCCCCC(O)CCCCCCCCC(O)=O,Feces,Not Specified,
2-Hydroxyglutarate,HMDB0059655,OC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Paracetamol sulfate,HMDB0059911,CC(=O)NC1=CC=C(OS(O)(=O)=O)C=C1,Feces,Not Specified,
Phenol sulphate,HMDB0060015,OS(=O)(=O)OC1=CC=CC=C1,Feces,Not Specified,
L-Xylonic acid,HMDB0060256,OC[C@H](O)[C@@H](O)[C@H](O)C(O)=O,Feces,Not Specified,
N-Acetylmuramate,HMDB0060493,[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)OC([H])(O)[C@]1([H])N=C(C)O)C(O)=O,Feces,Not Specified,
3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid,HMDB0061112,CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1,Feces,Not Specified,
Lenticin,HMDB0061115,C[N+](C)(C)[C@@H](CC1=CNC2=CC=CC=C12)C([O-])=O,Feces,Not Specified,
N-Acetylisoleucine,HMDB0061684,CC[C@H](C)[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
LysoPI(18:0/0:0),HMDB0240261,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,Feces,Not Specified,
1-Stearoylglycerophosphoglycerol,HMDB0061697,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,Feces,Not Specified,
LysoPC(0:0/16:0),HMDB0240262,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
13-Methylmyristic acid,HMDB0061707,CC(C)CCCCCCCCCCCC(O)=O,Feces,Not Specified,
15-Methylpalmitate,HMDB0061709,CC(C)CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
17-Methyloctadecanoic acid,HMDB0037397,CC(C)CCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Methylphosphate,HMDB0061711,COP(O)(O)=O,Feces,Not Specified,
Palmitoyl sphingomyelin,HMDB0061712,CCCCCCCCCCCCCCCC(=O)N[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Docosadienoate (22:2n6),HMDB0061714,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Hexaethylene glycol,HMDB0061822,OCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Heptaethylene glycol,HMDB0061835,OCCOCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Caproate (6:0),HMDB0061883,CCCCCC(O)=O,Feces,Not Specified,
"1,3-Dihydro-(2H)-indol-2-one",HMDB0061918,O=C1CC2=CC=CC=C2N1,Feces,Not Specified,
9Z-Eicosenoic acid,HMDB0062436,CCCCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
LysoPC(16:0/0:0),HMDB0010382,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
2-Hydroxystearic acid,HMDB0062549,CCCCCCCCCCCCCCCC[C@H](O)C(O)=O,Feces,Not Specified,
Glutamyltyrosine,HMDB0028831,N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
N-Acetylthreonine,HMDB0062557,C[C@@H](O)[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
trizma acetate,HMDB0062561,CC(O)=O.NC(CO)(CO)CO,Feces,Not Specified,
Butyric acid,HMDB0000039,CCCC(O)=O,Feces,Not Specified,
Acetic acid,HMDB0000042,CC(O)=O,Feces,Not Specified,
"3,7-Dimethyluric acid",HMDB0001982,CN1C(=O)NC2=C1C(=O)NC(=O)N2C,Feces,Not Specified,
Imidazolepropionic acid,HMDB0002271,OC(=O)CCC1=CNC=N1,Feces,Not Specified,
Campesterol,HMDB0002869,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C,Feces,Not Specified,
Docosapentaenoic acid (22n-3),HMDB0006528,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O,Feces,Not Specified,
LysoPE(P-16:0/0:0),HMDB0011152,[H][C@@](O)(CO\C=C/CCCCCCCCCCCCCC)COP(O)(=O)OCCN,Feces,Not Specified,
Serylphenylalanine,HMDB0029046,N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Threonylisoleucine,HMDB0029064,CC[C@H](C)[C@H](NC(=O)[C@@H](N)[C@@H](C)O)C(O)=O,Feces,Not Specified,
Threonylleucine,HMDB0029065,CC(C)C[C@H](NC(=O)[C@@H](N)[C@@H](C)O)C(O)=O,Feces,Not Specified,
Threonylvaline,HMDB0029074,CC(C)[C@H](NC(=O)[C@@H](N)[C@@H](C)O)C(O)=O,Feces,Not Specified,
Dihydroferulic acid,HMDB0062121,COC1=CC(CCC(O)=O)=CC=C1O,Feces,Not Specified,
Dihydroferulic acid,HMDB0062121,COC1=CC(CCC(O)=O)=CC=C1O,Feces,Not Specified,
2-Pentanamido-3-phenylpropanoic acid,HMDB0094646,CCCCC(O)=NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Leu-Leu-Leu,HMDB0094648,CC(C)CC(N)C(O)=NC(CC(C)C)C(O)=NC(CC(C)C)C(O)=O,Feces,Not Specified,
2-Aminoheptanoate,HMDB0094649,CCCCC[C@H](N)C(O)=O,Feces,Not Specified,
"5alpha-Pregnan-3beta,20alpha-diol disulfate",HMDB0094650,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)OS(O)(=O)=O,Feces,Not Specified,
Pyroglutamylvaline,HMDB0094651,CC(C)[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(O)=O,Feces,Not Specified,
2-Hydroxydecanoate,HMDB0094656,CCCCCCCC[C@H](O)C(O)=O,Feces,Not Specified,
2-Oxindole-3-acetate,HMDB0094657,OC(=O)CC1C(O)=NC2=CC=CC=C12,Feces,Not Specified,
3-Hydroxytetradecanoic acid,HMDB0061656,CCCCCCCCCCC[C@H](O)CC(O)=O,Feces,Not Specified,
Cyclo(Leu-Phe),HMDB0094673,[H][C@@]1(CC(C)C)N=C(O)[C@]([H])(CC2=CC=CC=C2)N=C1O,Feces,Not Specified,
Val-Val-Val,HMDB0094676,CC(C)C(N)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Glutamyltryptophan,HMDB0028830,N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Glutamyltryptophan,HMDB0028830,N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Octaethylene glycol,HMDB0094680,OCCOCCOCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
"5alpha-Androstan-3alpha,17beta-diol disulfate",HMDB0094682,[H][C@@]12CC[C@H](OS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O,Feces,Not Specified,
Monooleoylglycerol,HMDB0094684,[H]\C(CCCCCCCC)=C(/[H])CCCCCCCC(=O)OCC(O)CO,Feces,Not Specified,
LysoPC(18:0/0:0),HMDB0010384,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
3-Aminobutanoic acid,HMDB0031654,CC(N)CC(O)=O,Feces,Not Specified,
N-Methyl-L-proline,HMDB0094696,CN1CCC[C@H]1C(O)=O,Feces,Not Specified,
N-Acetylproline,HMDB0094701,[H][C@]1(CCCN1C(C)=O)C(O)=O,Feces,Not Specified,
N-Propionylmethionine,HMDB0094704,[H][C@@](CCSC)(N=C(O)CC)C(O)=O,Feces,Not Specified,
Serylvaline,HMDB0029052,CC(C)[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
3-[3-(Sulfooxy)phenyl]propanoic acid,HMDB0094710,OC(=O)CCC1=CC(OS(O)(=O)=O)=CC=C1,Feces,Not Specified,
Serylleucine,HMDB0029043,CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Tetraethylene glycol,HMDB0094708,OCCOCCOCCOCCO,Feces,Not Specified,
"1,11-Undecanedicarboxylic acid",HMDB0002327,OC(=O)CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Propylene glycol,HMDB0001881,C[C@@H](O)CO,Feces,Not Specified,
1-Hexadecanol,HMDB0003424,CCCCCCCCCCCCCCCCO,Feces,Not Specified,
1-Methylxanthine,HMDB0010738,CN1C(=O)NC2=C(NC=N2)C1=O,Feces,Not Specified,
Octadecanol,HMDB0002350,CCCCCCCCCCCCCCCCCCO,Feces,Not Specified,
MG(18:0/0:0/0:0),HMDB0011131,[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCCCC,Feces,Not Specified,
LysoPC(18:0/0:0),HMDB0010384,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
10Z-Heptadecenoic acid,HMDB0060038,CCCCCC\C=C/CCCCCCCCC(O)=O,Feces,Not Specified,
12-Methyltridecanoic acid,HMDB0031072,CC(C)CCCCCCCCCCC(O)=O,Feces,Not Specified,
13-Methylmyristic acid,HMDB0061707,CC(C)CCCCCCCCCCCC(O)=O,Feces,Not Specified,
15-Methylpalmitate,HMDB0061709,CC(C)CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
17-Methyloctadecanoic acid,HMDB0037397,CC(C)CCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Deoxyinosine,HMDB0000071,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,Feces,Not Specified,
Aminoadipic acid,HMDB0000510,N[C@@H](CCCC(O)=O)C(O)=O,Feces,Not Specified,
L-alpha-Aminobutyric acid,HMDB0000452,CC[C@H](N)C(O)=O,Feces,Not Specified,
Norvaline,HMDB0013716,CCC[C@@H](N)C(O)=O,Feces,Not Specified,
2-Ethylhexanoic acid,HMDB0031230,CCCCC(CC)C(O)=O,Feces,Not Specified,
2-Hydroxybutyric acid,HMDB0000008,CC[C@H](O)C(O)=O,Feces,Not Specified,
2-Hydroxyglutarate,HMDB0059655,OC(CCC(O)=O)C(O)=O,Feces,Not Specified,
alpha-Hydroxyisobutyric acid,HMDB0000729,CC(C)(O)C(O)=O,Feces,Not Specified,
2-Hydroxymyristic acid,HMDB0002261,CCCCCCCCCCCCC(O)C(O)=O,Feces,Not Specified,
"xi-2,3-Dihydro-2-oxo-1H-indole-3-acetic acid",HMDB0035514,OC(=O)CC1C(O)=NC2=C1C=CC=C2,Feces,Not Specified,
Protocatechuic acid,HMDB0001856,OC(=O)C1=CC(O)=C(O)C=C1,Feces,Not Specified,
3-(2-Hydroxyphenyl)propanoic acid,HMDB0033752,OC(=O)CCC1=CC=CC=C1O,Feces,Not Specified,
Desaminotyrosine,HMDB0002199,OC(=O)CCC1=CC=C(O)C=C1,Feces,Not Specified,
3-Dehydrocarnitine,HMDB0012154,C[N+](C)(C)CC(=O)CC([O-])=O,Feces,Not Specified,
3-Hydroxybenzoic acid,HMDB0002466,OC(=O)C1=CC(O)=CC=C1,Feces,Not Specified,
(S)-3-Hydroxyisobutyric acid,HMDB0000023,C[C@@H](CO)C(O)=O,Feces,Not Specified,
3-Hydroxyoctanoic acid,HMDB0001954,CCCCC[C@H](O)CC(O)=O,Feces,Not Specified,
Hydroxypropionic acid,HMDB0000700,OCCC(O)=O,Feces,Not Specified,
3-Methyl-2-oxovaleric acid,HMDB0000491,CC[C@H](C)C(=O)C(O)=O,Feces,Not Specified,
Hydrocinnamic acid,HMDB0000764,OC(=O)CCC1=CC=CC=C1,Feces,Not Specified,
4-Acetamidobutanoic acid,HMDB0003681,CC(=O)NCCCC(O)=O,Feces,Not Specified,
4-Guanidinobutanoic acid,HMDB0003464,NC(=N)NCCCC(O)=O,Feces,Not Specified,
4-Hydroxybenzoic acid,HMDB0000500,OC(=O)C1=CC=C(O)C=C1,Feces,Not Specified,
4-Hydroxybenzyl alcohol,HMDB0011724,OCC1=CC=C(O)C=C1,Feces,Not Specified,
4-Hydroxybutyric acid,HMDB0000710,OCCCC(O)=O,Feces,Not Specified,
4-Hydroxycinnamic acid,HMDB0002035,OC(=O)\C=C\C1=CC=C(O)C=C1,Feces,Not Specified,
p-Hydroxyphenylacetic acid,HMDB0000020,OC(=O)CC1=CC=C(O)C=C1,Feces,Not Specified,
Ketoleucine,HMDB0000695,CC(C)CC(=O)C(O)=O,Feces,Not Specified,
Dihydrouracil,HMDB0000076,O=C1CCNC(=O)N1,Feces,Not Specified,
5-Aminopentanoic acid,HMDB0003355,NCCCCC(O)=O,Feces,Not Specified,
5Z-Dodecenoic acid,HMDB0000529,CCCCCC\C=C/CCCC(O)=O,Feces,Not Specified,
delta-Hexanolactone,HMDB0000453,CC1CCCC(=O)O1,Feces,Not Specified,
5-Hydroxyhexanoic acid,HMDB0000525,CC(O)CCCC(O)=O,Feces,Not Specified,
Pyroglutamic acid,HMDB0000267,OC(=O)[C@@H]1CCC(=O)N1,Feces,Not Specified,
6-Hydroxynicotinic acid,HMDB0002658,OC(=O)C1=CN=C(O)C=C1,Feces,Not Specified,
6-Oxopiperidine-2-carboxylic acid,HMDB0061705,OC(=O)C1CCCC(O)=N1,Feces,Not Specified,
7beta-Hydroxycholesterol,HMDB0006119,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Acetoacetic acid,HMDB0000060,CC(=O)CC(O)=O,Feces,Not Specified,
Adenine,HMDB0000034,NC1=C2NC=NC2=NC=N1,Feces,Not Specified,
Adenosine,HMDB0000050,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
Alanylalanine,HMDB0028680,C[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Alanylglutamic acid,HMDB0028686,C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Alanylisoleucine,HMDB0028690,CC[C@H](C)[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Alanylleucine,HMDB0028691,CC(C)C[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Alanylphenylalanine,HMDB0028694,C[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Alanylproline,HMDB0028695,C[C@H](N)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Alanyltryptophan,HMDB0013209,C[C@H](N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Alanyltyrosine,HMDB0028699,C[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Alanylvaline,HMDB0028700,CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Epi-alpha-amyrin,HMDB0036657,[H][C@@]12[C@H](C)[C@@H](C)CC[C@]1(C)CC[C@]1(C)C2=CCC2[C@@]3(C)CC[C@H](O)C(C)(C)C3CC[C@@]12C,Feces,Not Specified,
Glutamylvaline,HMDB0028832,CC(C)[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,Feces,Not Specified,
Leucinic acid,HMDB0000665,CC(C)CC(O)C(O)=O,Feces,Not Specified,
alpha-Tocopherol,HMDB0001893,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,Feces,Not Specified,
2-Aminobenzoic acid,HMDB0001123,NC1=CC=CC=C1C(O)=O,Feces,Not Specified,
Citronellyl anthranilate,HMDB0032208,CC(CCOC(=O)C1=CC=CC=C1N)CCC=C(C)C,Feces,Not Specified,
Arachidic acid,HMDB0002212,CCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Arachidonic acid,HMDB0001043,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,Feces,Not Specified,
L-Arginine,HMDB0000517,N[C@@H](CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylisoleucine,HMDB0028712,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylleucine,HMDB0028713,CC(C)C[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylphenylalanine,HMDB0028716,N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Arginylvaline,HMDB0028722,CC(C)[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
L-Asparagine,HMDB0000168,N[C@@H](CC(N)=O)C(O)=O,Feces,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Aspartyl-Leucine,HMDB0028757,CC(C)CC(NC(=O)C(N)CC(O)=O)C(O)=O,Feces,Not Specified,
Aspartylphenylalanine,HMDB0000706,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Azelaic acid,HMDB0000784,OC(=O)CCCCCCCC(O)=O,Feces,Not Specified,
Behenic acid,HMDB0000944,CCCCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Benzoic acid,HMDB0001870,OC(=O)C1=CC=CC=C1,Feces,Not Specified,
beta-Alanine,HMDB0000056,NCCC(O)=O,Feces,Not Specified,
3-Hydroxyisovaleric acid,HMDB0000754,CC(C)(O)CC(O)=O,Feces,Not Specified,
Biliverdin,HMDB0001008,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,Feces,Not Specified,
Cadaverine,HMDB0002322,NCCCCCN,Feces,Not Specified,
Caffeine,HMDB0001847,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Feces,Not Specified,
Capric acid,HMDB0000511,CCCCCCCCCC(O)=O,Feces,Not Specified,
Caproic acid,HMDB0000535,CCCCCC(O)=O,Feces,Not Specified,
Caprylic acid,HMDB0000482,CCCCCCCC(O)=O,Feces,Not Specified,
L-Carnitine,HMDB0000062,C[N+](C)(C)C[C@H](O)CC([O-])=O,Feces,Not Specified,
Cholesterol,HMDB0000067,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Choline,HMDB0000097,C[N+](C)(C)CCO,Feces,Not Specified,
cis-Vaccenic acid,HMDB0240219,CCCCCC\C=C/CCCCCCCCCC(O)=O,Feces,Not Specified,
Citric acid,HMDB0000094,OC(=O)CC(O)(CC(O)=O)C(O)=O,Feces,Not Specified,
L-Cysteine,HMDB0000574,N[C@@H](CS)C(O)=O,Feces,Not Specified,
Cytosine,HMDB0000630,NC1=CC=NC(=O)N1,Feces,Not Specified,
Daidzein,HMDB0003312,OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,Feces,Not Specified,
Dehydroepiandrosterone sulfate,HMDB0001032,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,Feces,Not Specified,
beta-Tocopherol,HMDB0006335,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=CC(C)=C2O1,Feces,Not Specified,
4-Trimethylammoniobutanoic acid,HMDB0001161,C[N+](C)(C)CCCC([O-])=O,Feces,Not Specified,
Deoxycholic acid,HMDB0000626,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Dihomolinoleic acid,HMDB0061864,CCCCC\C=C/C=C\CCCCCCCCC(O)=O,Feces,Not Specified,
Asymmetric dimethylarginine,HMDB0001539,N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O,Feces,Not Specified,
Symmetric dimethylarginine,HMDB0003334,CN\C(NCCC[C@H](N)C(O)=O)=N/C,Feces,Not Specified,
Docosadienoate (22:2n6),HMDB0061714,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Docosahexaenoic acid,HMDB0002183,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,Feces,Not Specified,
Docosapentaenoic acid (22n-6),HMDB0001976,CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,Feces,Not Specified,
Docosapentaenoic acid (22n-3),HMDB0006528,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O,Feces,Not Specified,
Docosatrienoic acid,HMDB0002823,CC\C=C/C\C=C/C\C=C/CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Dodecanedioic acid,HMDB0000623,OC(=O)CCCCCCCCCCC(O)=O,Feces,Not Specified,
Traumatic acid,HMDB0000933,OC(=O)CCCCCCCC\C=C\C(O)=O,Feces,Not Specified,
Eicosapentaenoic acid,HMDB0001999,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,Feces,Not Specified,
11Z-Eicosenoic acid,HMDB0002231,CCCCCCCC\C=C/CCCCCCCCCC(O)=O,Feces,Not Specified,
Enterolactone,HMDB0006101,OC1=CC=CC(C[C@@H]2COC(=O)[C@H]2CC2=CC(O)=CC=C2)=C1,Feces,Not Specified,
Erythronic acid,HMDB0000613,OC[C@@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
Ethanolamine,HMDB0000149,NCCO,Feces,Not Specified,
Ferulic acid,HMDB0000954,COC1=C(O)C=CC(\C=C\C(O)=O)=C1,Feces,Not Specified,
D-Fructose,HMDB0000660,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Fucosterol,HMDB0030021,C\C=C(\C(C)C)CC[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,Feces,Not Specified,
D-Galactose,HMDB0000143,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,Feces,Not Specified,
Pectic acid,HMDB0003363,O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,Feces,Not Specified,
gamma-Aminobutyric acid,HMDB0000112,NCCCC(O)=O,Feces,Not Specified,
gamma-Glutamylglutamic acid,HMDB0011737,N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylisoleucine,HMDB0011170,CC[C@H](C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylleucine,HMDB0011171,CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylphenylalanine,HMDB0000594,N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Tocopherol,HMDB0001492,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=C(C)C(C)=C2O1,Feces,Not Specified,
D-Glucose,HMDB0000122,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
D-Glutamic acid,HMDB0003339,N[C@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
L-Glutamine,HMDB0000641,N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Glutaminylglutamine,HMDB0028795,N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Glutaminylisoleucine,HMDB0028800,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O,Feces,Not Specified,
Glutaric acid,HMDB0000661,OC(=O)CCCC(O)=O,Feces,Not Specified,
Glyceric acid,HMDB0000139,OC[C@@H](O)C(O)=O,Feces,Not Specified,
Glycerol,HMDB0000131,OCC(O)CO,Feces,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Feces,Not Specified,
Glycolic acid,HMDB0000115,OCC(O)=O,Feces,Not Specified,
Glycyl-glycine,HMDB0011733,NCC(=O)NCC(O)=O,Feces,Not Specified,
Glycyl-Isoleucine,HMDB0028844,CCC(C)C(N=C(O)CN)C(O)=O,Feces,Not Specified,
Glycylleucine,HMDB0000759,CC(C)C[C@H](NC(=O)CN)C(O)=O,Feces,Not Specified,
